,nox,nox_categoria
0,52.6598,Medio
1,42.5329,Medio
2,48.80029999999999,Medio
3,43.3553,Medio
4,58.0052,Alto
5,55.47325,Alto
6,47.5484,Medio
7,46.0159,Medio
8,34.75163333333333,Medio
9,28.846633333333333,Bajo
10,16.727566666666664,Bajo
11,11.94165,Bajo
12,7.764019999999999,Bajo
13,3.58639,Bajo
14,4.70015,Bajo
15,4.51613,Bajo
16,4.291785,Bajo
17,5.690155,Bajo
18,10.1459,Bajo
19,17.8127,Bajo
20,23.6371,Bajo
21,13.3191,Bajo
22,14.6667,Bajo
23,34.384,Medio
24,29.8211,Bajo
25,21.5671,Bajo
26,16.6577,Bajo
27,11.7483,Bajo
28,12.8362,Bajo
29,17.1678,Bajo
30,30.11255,Bajo
31,45.510893333333335,Medio
32,19.3703,Bajo
33,35.524249999999995,Medio
34,41.552533333333336,Medio
35,27.862566666666662,Bajo
36,16.39406333333333,Bajo
37,11.327386666666667,Bajo
38,10.762923333333331,Bajo
39,10.247183333333332,Bajo
40,9.079206666666666,Bajo
41,11.087263333333334,Bajo
42,16.323900000000002,Bajo
43,27.691000000000003,Bajo
44,31.8048,Medio
45,21.30353333333333,Bajo
46,25.84745,Bajo
47,37.21585,Medio
48,26.5121,Bajo
49,27.65725,Bajo
50,31.1721,Bajo
51,28.95015,Bajo
52,29.7751,Bajo
53,28.07855,Bajo
54,41.11235,Medio
55,56.68035,Alto
56,79.91546666666666,Alto
57,76.7882,Alto
58,55.36593333333334,Alto
59,35.67747666666667,Medio
60,21.64336,Bajo
61,13.734766666666664,Bajo
62,9.239133333333331,Bajo
63,8.245236666666667,Bajo
64,8.194483333333332,Bajo
65,12.57114,Bajo
66,21.32075,Bajo
67,23.94475,Bajo
68,50.68555,Medio
69,53.084300000000006,Alto
70,59.53816666666668,Alto
71,56.980466666666665,Alto
72,51.23625,Medio
73,37.98115,Medio
74,43.5383,Medio
75,35.42875,Medio
76,32.3752,Medio
77,35.53875,Medio
78,39.93175,Medio
79,44.920765,Medio
80,33.9233,Medio
81,30.4931,Bajo
82,59.8433,Alto
83,31.687773333333336,Medio
84,24.95165,Bajo
85,16.12585,Bajo
86,8.10153,Bajo
87,13.348643333333332,Bajo
88,11.622513333333332,Bajo
89,12.95606,Bajo
90,13.602333333333334,Bajo
91,18.8325,Bajo
92,21.847,Bajo
93,22.17195,Bajo
94,30.347050000000003,Bajo
95,31.35845,Bajo
96,28.4482,Bajo
97,23.1359,Bajo
98,19.3631,Bajo
99,16.2997,Bajo
