,no,no_sqrt
0,14.2098,3.769588836995356
1,19.93505,4.464868419113826
2,26.94225,5.190592451734195
3,36.96655,6.0800123355138025
4,39.65095,6.296900030967619
5,38.4718,6.202563985965804
6,31.88715,5.646870814885001
7,30.90405,5.559141120712804
8,20.701253333333334,4.549863001600524
9,17.778525000000002,4.216458822282035
10,7.7036,2.7755359842740286
11,5.313881666666667,2.3051858204202684
12,2.924163333333333,1.710018518418246
13,0.534445,0.731057453282572
14,0.742561,0.8617197920437942
15,0.950556,0.9749646147425044
16,0.641667,0.8010411974424286
17,0.7182335,0.8474865780648092
18,5.13341675,2.2657044710199963
19,9.5486,3.0900809050897036
20,7.10465,2.665454933027381
21,6.142275,2.47836135379811
22,5.1799,2.2759393665034224
23,17.4413,4.176278247435149
24,14.5752,3.81774802730615
25,8.9307,2.9884276802358793
26,3.3236,1.8230743265155154
27,3.5926,1.8954155217260409
28,1.8923,1.3756089560627323
29,4.74755,2.1788873307263965
30,18.8629,4.343144022479568
31,14.174505,3.764904381255917
32,9.48611,3.0799529217181227
33,16.264499999999998,4.032926976775057
34,22.45269,4.738426954169495
35,14.60435,3.821563816031338
36,3.4401926666666665,1.8547756378243343
37,1.97855,1.406609398518295
38,2.6893,1.639908534034749
39,1.9568333333333328,1.3988685904449112
40,1.5042296666666666,1.2264704100249082
41,1.9167406666666664,1.3844640358877751
42,3.5418,1.8819670560347224
43,7.83155,2.7984906646262018
44,8.125499999999999,2.8505262672004967
45,3.0363,1.7424982065987902
46,7.2646,2.695292191952479
47,15.7119,3.9638239113260316
48,10.65855,3.264743481500499
49,5.9497,2.439200688750313
50,11.4178,3.3790235275889984
51,11.4086,3.377661913217485
52,13.93235,3.7326063280233557
53,13.30485,3.647581390455873
54,26.1956,5.118163733215263
55,43.89806333333334,6.625561359864788
56,62.084,7.879340073889438
57,54.88570000000001,7.408488374830591
58,28.56212333333333,5.344354342044821
59,13.79907,3.7147099483001362
60,7.726203333333333,2.7796048879891786
61,4.814086666666666,2.194102701941426
62,2.5429906666666664,1.5946757246119558
63,1.7891296666666667,1.337583517641671
64,1.5949599999999995,1.2629172577805718
65,1.1624055,1.0781491084261026
66,7.0984,2.664282267328295
67,7.29245,2.7004536655902838
68,25.8241,5.081741827365889
69,30.636752,5.535047605938002
